CustomerID,NumberOrders,TotalSpent,TotalItems,DaysAsCustomer,DaysNoPurchase,LoyalCustomer,ManyOrders,BigSpender,RFMScore
VIP1140,1,89.0,1.0,276.0,276.0,1,1,1,111
VIP1141,2,835.0,4.0,276.0,215.0,2,2,4,224
VIP1142,25,3907.0,25.0,335.0,123.0,4,4,4,444
VIP1146,5,1922.0,5.0,123.0,1.0,1,4,4,144
VIP1148,1,221.0,1.0,154.0,154.0,1,1,2,112
VK1001,1,706.0,1.0,92.0,92.0,1,1,4,114
VK1002,1,440.0,1.0,245.0,245.0,1,1,3,113
VVIP1001,2,131.0,2.0,215.0,184.0,3,2,1,321
VVIP1004,12,3146.0,12.0,276.0,1.0,4,4,4,444
VVIP1005,1,164.0,1.0,276.0,276.0,1,1,2,112
VVIP1006,3,336.0,3.0,215.0,215.0,2,3,3,233
VVIP1008,11,1917.0,11.0,276.0,123.0,4,4,4,444
VVIP1009,1,226.0,1.0,184.0,184.0,2,1,2,212
VVIP1011,1,44.0,1.0,123.0,123.0,1,1,1,111
VVIP1012,2,334.0,2.0,154.0,154.0,1,2,3,123
VVIP1015,2,148.0,2.0,215.0,215.0,2,2,2,222
VVIP1016,4,1276.0,4.0,276.0,184.0,3,4,4,344
VVIP1017,19,4509.0,19.0,335.0,31.0,4,4,4,444
VVIP1018,9,1255.0,9.0,335.0,123.0,4,4,4,444
VVIP1020,1,236.0,1.0,276.0,276.0,1,1,2,112
VVIP1021,22,3052.0,22.0,276.0,31.0,4,4,4,444
VVIP1022,20,4113.0,21.0,276.0,31.0,4,4,4,444
VVIP1023,5,882.0,5.0,184.0,123.0,3,4,4,344
VVIP1024,2,107.0,2.0,215.0,154.0,3,2,1,321
VVIP1025,1,70.0,1.0,304.0,304.0,1,1,1,111
VVIP1026,2,335.0,2.0,215.0,1.0,4,2,3,423
VVIP1027,2,1134.0,2.0,215.0,62.0,4,2,4,424
VVIP1028,26,3278.0,26.0,304.0,31.0,4,4,4,444
VVIP1032,7,1488.0,7.0,215.0,1.0,4,4,4,444
VVIP1036,14,2600.0,14.0,335.0,31.0,4,4,4,444
VVIP1037,4,2081.0,4.0,123.0,62.0,1,4,4,144
VVIP1038,28,8482.0,28.0,335.0,1.0,4,4,4,444
VVIP1039,4,1630.0,4.0,335.0,215.0,2,4,4,244
VVIP1042,12,2384.0,12.0,276.0,1.0,4,4,4,444
VVIP1043,8,2144.0,8.0,304.0,1.0,4,4,4,444
VVIP1044,36,6054.0,36.0,335.0,123.0,4,4,4,444
VVIP1045,2,307.0,2.0,215.0,123.0,4,2,2,422
VVIP1046,2,703.0,2.0,215.0,154.0,3,2,3,323
VVIP1047,18,2416.0,18.0,335.0,1.0,4,4,4,444
VVIP1049,5,1254.0,5.0,276.0,245.0,1,4,4,144
